SubscriptionGuid,ResourceGroup,ResourceLocation,UsageDateTime,MeterCategory,MeterSubcategory,MeterId,MeterName,MeterRegion,UsageQuantity,ResourceRate,PreTaxCost,ConsumedService,ResourceType,InstanceId,Tags,OfferId,AdditionalInfo,ServiceInfo1,ServiceInfo2,ServiceName,ServiceTier,Currency,UnitOfMeasure
6aa612ef-5168-4a19-8e7c-db14c9849d3a,CLAUDE-RG,SE Central,2026-03-04,Storage,Tiered Block Blob,35a559de-6c78-5918-a470-0b1b5734aa3c,GRS List and Create Container Operations,SE Central,0.0015,0.146534,0.000219801,Microsoft.Storage,Microsoft.Storage/storageAccounts,/subscriptions/6aa612ef-5168-4a19-8e7c-db14c9849d3a/resourceGroups/CLAUDE-RG/providers/Microsoft.Storage/storageAccounts/aqclaudestorage007,,,,,,Storage,Blob Storage,CAD,1000000
6aa612ef-5168-4a19-8e7c-db14c9849d3a,CLAUDE-RG,SE Central,2026-03-05,Storage,Tiered Block Blob,35a559de-6c78-5918-a470-0b1b5734aa3c,GRS List and Create Container Operations,SE Central,0.0014,0.146534,0.0002051476,Microsoft.Storage,Microsoft.Storage/storageAccounts,/subscriptions/6aa612ef-5168-4a19-8e7c-db14c9849d3a/resourceGroups/CLAUDE-RG/providers/Microsoft.Storage/storageAccounts/aqclaudestorage007,,,,,,Storage,Blob Storage,CAD,1000000
6aa612ef-5168-4a19-8e7c-db14c9849d3a,CLAUDE-RG,SE Central,2026-03-01,Storage,Tiered Block Blob,35a559de-6c78-5918-a470-0b1b5734aa3c,GRS List and Create Container Operations,SE Central,0.0015,0.146534,0.000219801,Microsoft.Storage,Microsoft.Storage/storageAccounts,/subscriptions/6aa612ef-5168-4a19-8e7c-db14c9849d3a/resourceGroups/CLAUDE-RG/providers/Microsoft.Storage/storageAccounts/aqclaudestorage007,,,,,,Storage,Blob Storage,CAD,1000000
6aa612ef-5168-4a19-8e7c-db14c9849d3a,CLAUDE-RG,SE Central,2026-03-02,Storage,Tiered Block Blob,35a559de-6c78-5918-a470-0b1b5734aa3c,GRS List and Create Container Operations,SE Central,0.0015,0.146534,0.000219801,Microsoft.Storage,Microsoft.Storage/storageAccounts,/subscriptions/6aa612ef-5168-4a19-8e7c-db14c9849d3a/resourceGroups/CLAUDE-RG/providers/Microsoft.Storage/storageAccounts/aqclaudestorage007,,,,,,Storage,Blob Storage,CAD,1000000
6aa612ef-5168-4a19-8e7c-db14c9849d3a,CLAUDE-RG,SE Central,2026-03-06,Storage,Tiered Block Blob,35a559de-6c78-5918-a470-0b1b5734aa3c,GRS List and Create Container Operations,SE Central,0.0001,0.146534,0.0000146534,Microsoft.Storage,Microsoft.Storage/storageAccounts,/subscriptions/6aa612ef-5168-4a19-8e7c-db14c9849d3a/resourceGroups/CLAUDE-RG/providers/Microsoft.Storage/storageAccounts/aqclaudestorage007,,,,,,Storage,Blob Storage,CAD,1000000
6aa612ef-5168-4a19-8e7c-db14c9849d3a,CLAUDE-RG,SE Central,2026-03-03,Storage,Tiered Block Blob,35a559de-6c78-5918-a470-0b1b5734aa3c,GRS List and Create Container Operations,SE Central,0.0015,0.146534,0.000219801,Microsoft.Storage,Microsoft.Storage/storageAccounts,/subscriptions/6aa612ef-5168-4a19-8e7c-db14c9849d3a/resourceGroups/CLAUDE-RG/providers/Microsoft.Storage/storageAccounts/aqclaudestorage007,,,,,,Storage,Blob Storage,CAD,1000000
